en,ar,fold
Syrup: Bottle containing 100 ml & 60 ml,الشراب : زجاجة سعة ١٠٠ مل و٦٠  مل,5
Rest.,الراحة.,4
CC_BY-SA_3.0,"فيما وُصف بأنه ""أكبر حجر صحي في تاريخ البشرية""، أُعلن عن طوق صحي في 23 يناير لوقف السفر من ووهان وإليها، وهو ما امتد إلى ما مجموعه 15 مدينة في هوبي، وأثر على حوالي 57 مليون شخص.",3
Lidocaine or its metabolites are secreted in small amounts into breast milk. Your doctor will therefore be particularly careful if you are breast feeding.,يفرز الليدوكائين أو عناصره بكميات صغيرة في حليب الأم، ولذلك فإن طبيبك سيتوخى الحذر بصفة خاصة إذا كنت ترضعين طفلك طبيعيا.,5
Other health conditions and past surgeries,الحالات الصحية الأخرى والعمليات الجراحية السابقة,3
Lasix are used in the following cases:,يُستعمل لازيكس في الحالات التالية:,3
Wash from your neck to your waist with this soap the night before your surgery and then again the morning of your surgery.,يُرجى الغسل من رقبتك إلى خصرك بهذا الصابون في الليلة السابقة للجراحة ثم مرة أخرى في صباح يوم الجراحة.,2
Alzheimer’s disease,مرض الزهايمر,1
Talk to your doctor about the best contraception for you.,تحدثي مع طبيبك حول أفضل وسيلة لمنع الحمل بالنسبة لك.,1
"The other ingredients are benzyl alcohol, cetomacrogol-1000, cetostearyl alcohol, liquid paraffin, propylene glycol, sodium dihydrogen phosphate, sodium hydroxide, white petroleum jelly and purified water.",المكونات الأخرى هي: كحول بنزيلي، سيتوميكروجل- ۱۰۰۰ ، كحول سيتوستيريل، برافين السائل، بروبيلين جليكول، صوديوم فوسفات ثنائي الهيدروجين، هيدروكسيد الصوديوم، هلام أبيض بترولى و ماء مٌنقى.,4
Signs of a Toothache,مؤشرات ألم الأسنان,3
Common side-effects (<1/10 and ≥ 1/100):,أعراض جانبية شائعة (<1/ 10 و ≥1/100):,2
This exam is done to check your:,يجري هذا الفحص للكشف على:,1
if you are overweight;,إذا كان لديك زيادة في الوزن.,4
Olazine film coated tablets 5 mg :,أقراص أولازين المغلفة 5 ملجم:,2
"Sandoz GmbH, Kundl, Austria",شركة ساندوز المحدودة، كوندل، النمسا,3
"maleic acid, stearic acid, gelatin, talc, maize starch, lactose, iron oxide red (E172), silicica colloidal, acacia, sucrose and cetyl palmitate.",حمض مالييك، حمض ستياريك، جيلاتين، تلك، نشا ذرة، لاكتوز، أكسيد الحديد الأحمر (E172)، سيليكا غروانية، أكاسيا، سيكروز، سيتيل بالميتات.,5
Muscular pain,آلام العضلات.,2
"If you forget to take a dose, do not worry.",لا داعي للقلق إذا أغفلت تناوُل إحدى الجرعات.,3
Take the container and any remaining tablets with you to show the doctor.,خذ معك علبة الدواء وأى أقراص متبقیة لتعرضھا على طبیبك المعالج.,1
Lancing device,جها ز المبضع,4
Remind your doctor if you have a history of allergic reactions as you may need to be monitored more carefully.,قم بتذكير طبيبك إذا كان لديك تاريخ مرضي من الإصابة بتفاعلات أرجية ، حيث قد يستلزم مراقبة حالتك بعناية.,2
"If you are allergic (hypersensitive) to amlodipine or any of the other ingredients of this medicine listed in section 6, or to any other calcium  antagonists.",إذا كنت أرجياً (مفرط التحسّس) لأملوديبين أو لإحدى المواد المستخدمة في تركيبة لوفاسك أو أي من مضادات كالسيوم الأخرى.,1
"Please ensure that you have access to a toilet at all times following each dose, until the effects wear off.",يرجى التأكد من أنك تستطيع الوصول إلى المرحاض في كل الأوقات التالية بعد كل جرعة، لحين اختفاء تأثير الدواء.,3
Body aches,ألم في البدن,4
"In all cases, you must use an extra method of contraception for the first 7 days of tablet-taking (e.g. a condom).",في كل الحالات، يجب أن تستخدمي وسيلة إضافية، لمنع الحمل خلال السبعة أيام الأولى من تناول الأقراص (على سبيل المثال العازل الطبي).,4
Headaches.,صداع.,1
"If you have discomfort, ask your nurse for pain medicine.",إذا شعرت بعدم الراحة، فاطلب من ممرضتك دواءً من أجل الألم.,5
"Give plenty of fluids to prevent dehydration, which can be serious.",قدم للمريض الكثير من السوائل لمنع حدوث الجفاف الذي قد يمثل خطورة.,1
"Stop taking Noroxin immediately and get medical help right away at the first sign of tendon pain, swelling or inflammation.",توقّف عن أخذ نوروكسين على الفور واحصل على مساعدة طبيّة طارئة عند الإشارة الأولى لألم أو تورّم أو التهاب في الأوتار.,3
Talk to your doctor about taking a vitamin D supplement if your exposure to sunlight is low.,تحدثي إلى الطبيب حول تناول مكملات فيتامين د إذا ما كان تعرضك للشمس أقل.,1
"The product is a clear, colorless solution in polyethylene plastic ampule.",المنتج عبارة عن محلول عديم اللون واضح يسوق في أمبولات بلاستيكية (بولي ايثايلين).,3
CC_BY-SA_3.0,(انظر التحديثات من منظمة الصحة العالمية).,1
"Hair loss, skin rash with white silvery coloured appearance (psoriasiform rash) or worsening of psoriasis, skin rash.",تساقط الشعر وطفح جلدي مع ظهور لون أبيض فضي (طفح جلدي صدفي) أو تفاقم في حالات الصدفية، طفح جلدي.,1
high body temperature (hyperthermia),ارتفاع درجة حرارة الجسم (فرط الحرارة),2
"Caution should be exercised when used during pregnancy, especially during late pregnancy or just before giving birth since the following effects have been reported in new born children:",ينبغي توخي الحذر عند استخدامها أثناء الحمل، وخاصة خلال فترة الحمل المتأخرة أو قبل الولادة مباشرة منذ أن تم الإبلاغ عن الآثار التالية في الأطفال حديثي الولادة:,2
Only take the cap off the tube when you are ready to use the medicine.,إنزع الغطاء فقط عندما تكون مستعد لاستخدام هذا الدواء.,1
Moven may hide the symptoms of infection (e.g. fever).,قد يخفي موفين أعراض العدوى (مثل الحمى).,3
CC BY 4.0,كُشف من خلال الفحص المجهري الإلكتروني للانتقال أن سارس-كوف-2 موجود في أقسام رقيقة للغاية من ظِهارة مجرى الهواء لدى الإنسان.,4
"Taking other medicines, herbal  or dietary supplements",التداخلات الدوائية مع الأدوية الأخرى أو الأعشاب أوالمكملات الغذ ائية,1
Stomach and duodenal ulcers.,قرحة المعدة والاثني عشر.,3
"When given as an intravenous infusion, Phentolep must be diluted with normal saline.",يجب تخفيف فينتوليب مع محلول ملحي عند إعطائه وريديًا.,1
"Weakness, pain, feeling unwell.",ضعف، ألم، الشعور بالمرض.,4
Narcolepsy is having a hard time staying awake during the day.,التغفيق هو مواجهة صعوبة في الاستمرار في الاستيقاظ أثناء اليوم.,3
Children aged over 4 years may take Omeral.,الأطفال الذين تزيد أعمارهم عن 4 سنوات يمكن أن يأخذوا أوميرال.,2
"you may have problems with ejaculation, for example a decrease in the amount of semen released during sex.",ربما قد تواجه مشاكل مع القذف. عل سبيل المثال، انخفاض كمية السائل المنوي الخارج أثناء ممارسة الجنس.,3
These include:,والتي تتضمن:,2
Avoid eyestrain.,تجنب إجهاد العينين.,2
What to Expect at Your Prenatal Visits,الأشياء المتوقعة في زيارات ما قبل الولادة,3
Please read the instructions carefully and follow them step by step.,يُرجى قراءة التعليمات بعناية واتباعها خطوة بخطوة.,2
"You have epilepsy (fits) or seizure disorders, myasthenia gravis (a muscle dysfunction), narrow-angle glaucoma (excessive pressure inside your eyes), prostatic hypertrophy (prostate gland enlargement), urinary retention, asthma, bronchitis and chronic obstructive pulmonary disease (COPD).","إذا كنت تعاني من الصرع (نوبات) أو نوبات التشنجات، أو الوهن العضلي الوبيل (قصور  يفوظائف العضلات)، أو زرق ضيق الزاوية ""الجلوكوما"" (ضغط زائد داخل عينيك)، أو تضخم البروستاتا (تضخم غدة البروستاتا)، أو احتباس البول، أو الربو، أو التهاب الشعب الهوائية، أو مرض الانسداد الرئوي المزمن.",5
CC_BY-SA_3.0,"يُستخدم بيروكسيد الهيدروجين للمساعدة في القضاء على الأبواغ البكتيرية في الكحول؛ فهو ""ليس مادة فعالة لتطهير اليدين"".",3
Not all pack sizes may be marketed,قد لا يتم تسويق جميع أحجام العبوات.,4
This product is for men and should not be used by women.,ھذا المنتج مخصص للرجال ویجب ألا تستخدمة النساء.,4
If you are breast-feeding your child you should stop nursing and discard breast milk for 24 hours after you have received Propofol-Lipuro 10 mg/ml.,إذا كنتِ ترضعين طفلكِ رضاعة طبيعية، ينبغي أن تتوقفي عن الرضاعة وتتخلصي من لبن الثدي طوال ال ساعة 24 . بعد تلقيك Propofol-Lipuro 10 mg/ml.,5
"In patients with rapidly growing tumours, methotrexate can cause metabolic disorders.",في المرضى المُصابين بأورام سريعة النمو، قد يُسبب عقار ميثوتريكسات اضطرابات استقلابية.,3
"If your pain gets worse or is not controlled with medicine, tell your nurse.",في حالة ازدياد الألم سوءً أو عدم السيطرة عليه بالدواء، بادر بإخبار ممرضك/ممرضتك.,4
"The orodispersible tablet is then placed on the tongue, melts automatically and is swallowed with saliva.",يوضع القرص الفموي على اللسان ويذوب تلقائيًا ويتم بلعه مع اللعاب.,3
There is no relevant use of PUREGON in children.,لا يوجد مبرر طبي لاستخدام بيوريجون لدى الأطفال.,5
Keep room temperatures comfortable for an adult.,يجب التحقق من كون درجة حرارة الغرفة مناسبة للشخص البالغ.,3
Make plans for someone to care for your other children while you are in the hospital.,اتفقي مع شخص ما على أن يرعى أطفالك الآخرين أثناء تواجدك في المستشفى.,3
This applies especially to the medicines listed below:,ينطبق ذلك خصوصاً على الأدوية التالية:,5
