fold,prediction,reference
1,سيمفاستاتين (دواء يستخدم للسيطرة على مستويات الكوليسترول المرتفعة).,سيمڤاستاتين (دواء يستعمل للسيطرة على ارتفاع مستويات الكوليسترول).
1,الشعور العام بالتوعك ونقص الطاقة.,الشعور العام بالتعب وفقدان الطاقة.
1,التهاب الحلق،,التهاب الحلق
1,يشمل ذلك الأدوية التي يتم شراؤها بدون وصفة طبية.,هذا يشمل الأدوية التى يمكنك شراؤها بدون تذكرة طبية .
1,ولكن إذا توقفت عن تناول أوسلتا قبل وقت علمك الطبيب، فقد تعود أعراض الإنفلونزا مرة أخرى.,لكن إذا توقفت عن تناول أوسلتا قبل أن يخبرك طبيبك بهذا، ربما تعود أعراض الإنفلونزا مرة أخرى.
1,المراجعة إلى القسم ٣١ للسلامة فيما يتعلق بالأدوية التي يمكن انتقالها، انظر القسم,بالنسبة للسلامة فيما يتعلق بالعوامل المُعْدِية، يُرجى الإطلاع على فقرة رقم
1,إذا كنت تعاني من عدوى شديدة، فقد يتم إعطاؤك أيضًا مضادات حيوية لتناولها عن طريق الفم.,إذا كنت مصاباً بعدوى بكتيرية شديدة يمكن أن يصف لك الطبيب مضادات حيوية تعطى بالفم.
1,صعوبات في الحركة والسير (خلل الحركة، اضطرابات خارج الهرم),مشاكل في الحركة والمشي ( خلل الحركة ، اضطرابات خارج السبيل الهرمي )
1,أومنك أوكاس أقراص معبأة في أشرطة من الألومنيوم وتتوفر في عبوة كرتونية.,تتوفر أقراص أومنك أوكاس في أشرطة من الألمونيوم داخل عبوة كرتونية .
1,الطفح الجلدي الذي قد يؤدي إلى ظهور بثور شديدة وتقشر الجلد (متلازمة ستيفنز جونسون),الطفح الجلدي الذي قد يؤدي إلى حالة شديدة من تبثر وتقشر الجلد (متلازمة ستيفنز-جونسون)
1,التهابات في الشعر و فروة الرأس,عدوى الشعر وفروة الرأس
1,شائعة جدًا (من المحتمل أن تؤثر على ما يصل إلى 1 من كل 10 مستخدمين لهذا الدواء):,أعراض شائعة الحدوث (تؤثر على 1 من كل 10 أشخاص):
1,المادة الفعالة هي إنسولين أسبارت.,المادة الفعالة هي إنسولين أسبارت.
1,مدة (أيام),المدة (أيام)
1,انزع ضمادة الضغط عند الخلود إلى النوم ووضع ضمادة نظيفة.,أزل ضمادة الضغط عند النوم وضع بدلا منها شريطًا لاصقًا نظيفًا.
1,قم بتحريك المزيج دائماً قبل شربه مباشرةً (لن يكون المزيج صافياً)، ثم اشربه على الفور أو خلال 30 دقيقة.,قلب الخليط دائما قبل شربه (لن كون الخليط شفافا) ثم اشرب هذا الخليط على الفور أو في غضون 30 دقيقة
1,وقف عن تناول نوروكسين على الفور وتحدث إلى مقدم الرعاية الصحية الخاص بك على الفور إذا حصل لديك أي من هذه الآثار الجانبية، أو غيرها من التغيرات المزاجية أو السلوكية:,توقّف عن أخذ نوروكسين مباشرة وتحدّث إلى طبيبك في الحال إذا أصبت بأيّ من الآثار الجانبيّة هذه أو بتغييرات أخرى في المزاج أو السلوك:
1,لا تتناول أكثر من الجرعة الموصى بها لحالتك.,لا تتناول أكثر من الجرعة الموصى بها لعلاج حالتك.
1,يحتوي ليڤونك على دواء يسمى ليڤوفلوكساسين.,يحتوي ليڤونك على دواء يسمى ليڤوفلوكساسين.
1,بنتاسا حقنة شرجية هي دواء علاج معوي.,إن بنتاسا  حقنة شرجية هو عامل علاجي معوي.
1,يوريلاكس 5 ملجم:,يوريلاكس 5 ملجم:
1,كل زجاجة مليئة بنصف حجمها تقريباً وتحتوي على ٥ مل أو ۱۰ مل من قطرات العين كما هو مكتوب على الجزء الأمامي من العبوة.,تكون كل زجاجة نصف ممتلئة تقريباً، وتحتوي إما على 5 مل أو 10 مل من قطرات العين حسب ما هو مكتوب على الوجه الأمامي للعلبة الكرتونية.
1,الحقن الوريدي لإعطائك السوائل والأدوية,حقنة وريدية لإعطائك السوائل والدواء
1,في بداية العلاج، قد يحدث تفاقم أعراض سرطان الثدي لديك مثل زيادة الألم و/أو زيادة حجم الأنسجة المصابة (المعروف باسم انتفاخ الورم).,في بداية العلاج، قد يحدث تفاقم لأعراض سرطان الثدي لديكِ مثل زيادة الألم وزيادة حجم الأنسجة المصابة (المعروف باسم احتدام الورم) أو أي منهما.
1,الأطفال بروف لا ينبغي أن يؤخذ من قبل الأطفال الذين يقل وزنهم عن 7 كجم.,الأطفال يجب عدم تناول معلق بروف من قبل الأطفال الذين تقل أوزانهم عن 7 كجم.
1,إذا كنت تتناولين أقراص ميرزاجن وتصبحين حاملاً أو تخططين للحمل، اسألي طبيبك عما إذا كان من الممكن مواصلة تناول أقراص ميرزاجن.,إذا كنت تتناولين أقراص ميرزاجن وأصبحت حاملا أو تخططين للحمل، اسألي طبيبك عما إذا كنتي قد تستمرين بتناول اقراص ميرزاجن.
1,سيقوم طبيبك بإخبارك عما إذا كنت قد عانيت من هذا في الماضي.,سيكون طبيبك قد قام بإبلاغك إذا كنت قد عانيت من هذا في الماضي.
1,في المرضى الذين يعانون من خلل حاد في وظائف الكبد، يجب فحص إنزيمات الكبد بانتظام أثناء العلاج باستخدام بانتوبرازول.,في المرضى الذین یعانون من القصور الكبدي الحاد، یجب فحص انزیمات الكبد بشكل منتظم خلال فترة العلاج مع بانتوبرازول.
1,كنتِ حاملًا لأكثر من ستة أشهر,إذا تجاوز حملك ستة أشهر.
1,إذا تم وضع المحلول عن طريق الخطأ على مناطق أخرى من الجسم غير فروة الرأس، اشطفها جيدًا بكمية كبيرة من الماء.,و في حالة تعرض مناطق من الجسم، باستثناء فروة الرأس، لھذا المستحضر عن طریق الخطأ، اغسل المنطقة جیداً مع استخدام كمیة وفیرة من المیاه.
1,إن تناول كينوكس بالتزامن مع هذه الأدوية يمكن أن يؤثر على التأثير العلاجي لهذه الأدوية.,تناول كينوكس بالتزامن مع هذه الأدوية من الممكن أن يحفز المفعول العلاجي لهذه الأدوية.
1,إذا كنت تتناول سيميتيدين (أكثر من 800 ملجم، وهو دواء لعلاج القرحة، عسر الهضم، أو حرقة المعدة),إذا كنت تأخذ سيميتيدين (أكثر من 800 ملغرام، وهو دواء للقرحة، عسر الهضم وحرقة القلب)
1,إذا كنت تعاني من التهاب الغشاء المخاطي للفم أو من قرحات في تجويف الفم,إذا كان لديك التهاب في الغشاء المخاطي للفم أو كان لديك قرحة في تجويف الفم.
1,هذا يعني أنك ستحتاج إلى الصبر.,لذا عليك التحلي بالصبر.
1,أخبر طبيبك والتوقف عن تناول بروف إذا واجهت:,أخبر الطبيب وتوقف عن تناول بروف إذا حصل لديك أي مما يلي:
1,يحتوي عقار مايفورتيك على مادة تسمى حمض المَيكوفينوليك.,يحتوي عقار مايفورتيك على مادة تُسمى حمض المَيكوفينوليك.
1,يمكن أن يقلل ميثوتريكسات من عدد خلايا الدم البيضاء وبالتالي يؤدي إلى ضعف المناعة.,يمكن أن يخفض ميثوتريكسات من عدد خلايا الدَّم البيضاء وبالتالي يضعف جهاز المناعة.
1,تناول وجبة خفيفة فقط قبل العلاج الكيماوي.,تناول وجبة خفيفة فقط قبل العلاج الكيميائي.
1,أغلقت المدارس والجامعات في جميع أنحاء البلاد، بما فيها الولايات المتحدة، وبرصيد، وفرنسا، وفرنسا، وفرنسا، وفرنسا، وفرنسا، وفرنسا، وفرنسا، وفرنسا، وفرنسا، وفرنسا، وفرنسا، وفرنسا، وفرنسا، وفرنسا، وفرنسا، وفرنسا، وفرنسا، وفرنسا، وفرنسا، وفرن,إن فيروس كورونا 2 المرتبط بالمتلازمة التنفسية الحادة الوخيمة (سارس كوف-2) هو فيروس كورونا مستجد مرتبط بالمتلازمة التنفسية الحادة الوخيمة، حيث عُزل أول مرة من ثلاثة أشخاص كانوا يعانون من الالتهاب الرئوي ضمن مجموعة حالات مرض الجهاز التنفسي الحاد في ووهان.
1,خلل في وظيفة الكبد,اعتلال الكبد
1,الآثار الجانبية التالية قد تحدث:,قد تحدث الآثار التالية:
1,تساقط الشعر أو ترقق الشعر بشكل غير عادي (الصلع),فقدان الشعر الغير طبيعي أو ترقق (ثعلبة)
1,الأدوية المستخدمة لعلاج مشاكل الصحة العقلية،,الأدوية المستعملة لعلاج مشاكل الصحّة العقليّة،
1,إذا كنت تعاني من حساسية من سوماتريبتان أو أي من المكونات الأخرى لهذا الدواء (المدرجة في القسم 6),إذا كنت تعاني من حساسية من السوماتريپتان أو أي من المكوّنات الأخرى لهذا الدواء (المذكورة في القسم 6)
1,إذا تناولت باريت أكثر مما يجب,في حالة تناول جرعة زائدة من باريت
1,إذا كان لديك أي أسئلة إضافية حول استخدام هذا الدواء، فاستشر طبيبك أو مزود الرعاية الصحية أو الصيدلي.,للاستفسار أو المزيد من المعلومات عن استخدام هذا الدواء، يرجى استشارة الطبيب أو مقدم الرعاية الصحية أو الصيدلي.
1,إذا كان موعد الجرعة التالية قد اقترب، فتجنب الجرعة التي نسيتها واستمر في الجرعة كالمعتاد.,إذا كان ذلك قريب من الجرعة التالية، تغاضى عن الجرعة المنسية و استمر كالمعتاد.
1,اغسل الجروح بعناية بالماء والصابون وتجفيفها.,اغسل الجروح بعناية بالماء والصابون واحرص على تجفيفها.
1,أقراص ليفيترا ٥ ملغم مغلفة بطبقة رقيقة هي أقراص برتقلية منقوش عليها علامة باير على أحد جانبيها و القوة (5) على الجانب الآخر.,ماذا تشبه أقراص ليفيترا وما هي محتويات العبوة أقراص ليفيترا 5 ميليغرام ذات كسوة غشائية لها لون برتقالي و على أحد جوانبها علامة BAYER و على الجانب الآخر مقدار (5).
1,لا تتناول جرعة مضاعفة لتعويض الجرعة المنسية.,ثم عد الى الجدول الخاص بك للجرعات العادية.
1,الأدوية المستخدمة لعلاج ارتفاع ضغط الدم، مثل مدرات البول (أقراص الماء) مثل بيندروفلوميثيازيد وفوروسيميد؛,الأدوية المستخدمة لعلاج ارتفاع ضغط الدم، مثل مدرات البول (أقراص الماء) مثل: بيندروفلوميثيازيد وفوروسيميد؛
1,بصق الواقي من أشعة الشمس في يديك ثم ضعها على وجهك، وأذنيك، وعنقك.,رش واقي أشعة الشمس على يديك ثم ضعه على وجهك وأذنك ورقبتك
1,نيوفارما أبو ظبي، الإمارات العربية المتحدة,نيوفارما أبوظبي، ا.ع.م
1,يمكن أن تشمل هذه الأدوية:,ويمكن أن تشمل:
1,أذكرهم أنك بحاجة إلى معرفة ما يجري.,يمكنكم تذكير الطفل بأنكم بحاجة لمعرفة ما يحدث. مهمتكم مساعدته وحمايته.
1,أعراض الجرعة الزائدة قد تشمل النعاس، الغثيان والتقيؤ، سرعة سرعة ضربات القلب، الاهتزاز، الهياج، الدوار وفي حالات نادرة فقدان الوعي.,قد تتضمن أعراض الجرعة المفرطة النعاس والغثيان والقيء وسرعة معدل نبضات القلب والارتجاف والهياج والدوار وفي بعض الحالات النادرة فقدان الوعي.
1,قد تشمل إشارات إرضاع الطفل ما يلي:,وقد تشمل علامات حاجة الطفل للرضاعة:
1,"لا تستخدم هذا الدواء بعد تاريخ انتهاء الصلاحية المذكور على العلبة الكرتونية بعد كلمة ""EXP"".","لا تستعمل هذا الدَّواء بعد انتهاء تاريخ الصلاحية المدون على الشريط، الزجاجة والعبوة الكرتونية بعد كلمة ""EXP""."
1,إذا كنت تعاني من الحساسية (فرط الحساسية) تجاه كلوترايمازول أو المكون الآخر في أوتوزول، بولي إيثيلين جليكول 400.,إذا كنت تعاني من الحساسیة (فرط الحساسیة) لكلوتریمازول أو المكون الآخر في أوتوزول ، البولي إیثیلین جلیكول 044
1,يجب عادة أن يستمر علاج الاكتئاب لمدة 6 أشهر بعد تحسن.,ينبغي أن يستمر علاج الاكتئاب عادةً لمدة ٦ أشهر بعد التحسن.
1,القرص 100 ملجم مغلف بطبقة رقيقة، محززة، مستديرة الشكل، ملتحدة، أبيض اللون.,القرص بحجم 100 مجم عبارة عن قرص مغلف، محزز، على شكل  كروي، ثنائي التحدُّب، ذو لون  أبيض.
1,تغير تدريجي في الرموش التي تم علاجها والشعر الدقيق حول العين المُعالجة، يُلاحظ بشكل غالب لدى الأشخاص من أصل ياباني، وتتضمن هذه التغييرات زيادة في لون (تَمَدُّد) وطول وسمك وعدد رموش العين.,تغير تدريجي في رموش العين الخاضعة للعلاج للشعر الخفيف المحيط بالمنطقة المعالجة ويلاحظ هذا في الأشخاص ذوي الأصل الياباني بشكل أكثر وتشمل هذه التغيرات ازدياد في درجة لون وطول وسمك وعدد شعرات رموش العين.
1,من المنطقي الافتراض أن عددا كبيرا من النساء الحوامل والنساء في سن الحمل قد تلقيت الليدوكائين.,من المنطقي افتراض أن عددًا كبيرًا من النساء الحوامل والنساء في سن الإنجاب قد تم إعطاؤهن ليدوكايين.
1,التعرق البارد؛ شحوب الجلد البارد؛ صداع؛ سرعة ضربات القلب؛ الشعور بالغثيان؛ الشعور بالجوع الشديد؛ تغيرات مؤقتة في الرؤية؛ الشعور بالنعاس؛ الشعور بالتعب والضعف بشكل غير عادي؛ التوتر أو الرعشة؛ الشعور بالقلق؛ الشعور بالارتباك؛ صعوبة التركيز.,التعرق البارد؛ شحوب الجلد وبرودته؛ صداع؛ سرعة ضربات القلب؛ الشعور بالمرض؛ الشعور بالجوع المفرط؛ تغييرات مؤقتة في الرؤية؛ الشعور بالنعاس؛ الشعور بالتعب والضعف بشكل غير عادي؛ التوتر أو الرعشة؛ الشعور بالقلق؛ الشعور بالارتباك؛ صعوبة التركيز.
1,ألم في موضع الحقن.,ألمًا بموضع الحقن.
1,ترايميثوبريم.,ترايميثوبرايم.
1,إنه هو الطريق الوحيد لتحقيق أفضل النتائج وتقليل خطر الآثار الجانبية.,هذه هي الطريقة الوحيدة لتحقيق أفضل النتائج وتقليل مخاطر الإصابة بآثار جانبية.
1,تحدث إلى طبيبك أو الصيدلي قبل تناول بروجراف.,تحدث مع طبيبك، الصيدلي قبل استخدام بروجراف.
1,نادرة تؤثر على أقل من 1 من كل 1000 مريض,"غير شائعة تؤثر على أقل من شخص واحد بين كل 1,000 شخص."
1,يجب أن تكون إجراءات موجودة لمنع إصابة السقوط وتحكم في ردود الفعل المُحافظة على الحركة.,ينبغي اتخاذ الإجراءات اللازمة لمنع الإصابة نتيجة السقوط ولعلاج الإغماء.
1,إذا كنت تعاني من الحساسية (فرط الحساسية) لأولازين أو لأي من المكونات الأخرى لهذا الدواء (المدرجة في القسم 6).,إذا كنت تعاني من حساسية (التحسس) لأولازين أو أي من المكونات الأخرى من هذا الدواء (المدرجة في المادة 6).
1,غير معروفة:,آثار جانبية غير معروفة
1,ما هو أوميز و ما هي دواعي استعماله,ما هو أوميز و ما هي دواعي استعماله
1,يجب إرسال بطاقات الاختبار المكملة بالبريد خلال 14 يومًا من جمع العينة الأولى.,يجب إرسال بطاقات الاختبار المكتملة بالبريد خلال 14 يوماً من تاريخ جمع العينة الأولى.
1,لأن ذلك قد يكون خطيرا لأنه قد يقلل من ضغط الدم.,بسبب إمكانية تعرضك للخطر حيث قد يؤدي إلى انخفاض ضغط الدم.
1,تحدث هذه الآثار الجانبية في الغالب بعد الجرعة الأولى من الدواء و عادةً ما تتوقف مع استمرار العلاج.,عادة ما تحدث هذه الآثار الجانبية بعد الجرعة الأولى من الدواء و غالبا ما تتوقف مع الإستمرار فى تناول الدواء .
1,قد تصيب أكثر من شخص من كل 10 أشخاص:,قد تؤثر هذه أكثر من 1 في 10 أشخاص:
1,يمكنك مسح المسحوق بالشمع القطني.,يمكن مسحها باستخدام القطن.
1,لا تستخدم أوماكور بعد تاريخ انتهاء الصلاحية المذكور على العلبة وعلى الملصق.,لا تستخدم أوماكور بعد انتهاء تاريخ الصلاحية المذكور على العبوة الخارجية .
1,تتوفر الأقراص في عبوات تقليدية (أشرطة من الألومنيوم/PVC) تحتوي على 14، 28، 56، 84، 98، 100 أو 112 قرصًا.,تتوفر الحبات في أغلفة مرتبة حسب جدول زمني (أغلفة بلاستيكية مصنوعة من ألمنيوم/PVC) تحتوي على ١٤ أو ٢٨ أو ٥٦ أو ٨٤ أو ٩٨ أو ١٠٠ أو ١١٢حبة.
1,اتصل بأبو المتنمر، إذا أمكن.,اتصلوا بوالدي الشخص المتنمر، إن أمكن.
1,أغلقت المدارس والجامعات في جميع أنحاء البلاد، بما فيها الولايات المتحدة، وبر الصين، وبر الصين، وبر الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصينية، وولاية,طبقًا لنتائج رصد منظمة اليونسكو، طبقت 188 دولة إغلاقًا شاملًا في جميع أنحاء البلاد، وطبقت 5 دول عمليات إغلاق محلية، مما أثر على حوالي 99.4% من عدد الطلاب على مستوى العالم.
1,إذا تناولت جرعة زائدة من بريجاديكس,الجرعة الزائدة من بريجاديكس
1,تحدث إلى طبيبك أو الصيدلي قبل تناول بيكوبريب، إذا كنت:,تحدث إلى طبيبك أو الصيدلي قبل أن تأخذ بيكوبريب ®، إذا كنت:
1,يصبحان مائيّتين.,وسيخرج البراز في شكل سائل.
1,ارتد القفازات للتخلص من القمامة الملوثة.,ارتد القفازات للتخلص من النفايات الملوثة.
1,في حالة ظهور أعراض التسمم، يجب استشارة الطبيب فوراً، الذي يقرر مراقبة أعراض التسمم ومعالجتها، بما في ذلك إجراء فحوصات مختبرية منتظمة، وإعلامك عن التدابير المقبلة.,في حالة وجود أعراض تسمم، يجب استشارة طبيب فورًا، والذي يقرر مراقبة وعلاج أعراض التسمم، بما في ذلك الفحوصات المعملية المنتظمة، ويبلغك بالمزيد من الإجراءات.
1,سيتم إرسال نتائج الاختبارات إلى طبيبك.,سيتم إرسال نتائج الاختبارات الخاصة بك إلى طبيبك.
1,اترك الجفن السفلي، ثم قم بإحكام الرؤية عدة مرات للتأكد من تغطية العين عن طريق السائل.,اترك الجفن السفلي یعود إلى وضعھ وقم بالرمش بضع مرات للتأكد من أن المحلول غطّى العین بالكامل.
1,قد يطلب طبيبك إجراء اختبارات مثل:,وقد يطلب الطبيب المعالج منك إجراء اختبارات مثل:
1,لا ينبغي تناول شراب برومیتین قبل بدء اختبار الجلد ب ۳ أیام على الأقل.,ینبغي تجنب تناول شراب برومیتین قبل بدء فحص الجلد بثلاثة أیام على الأقل.
1,قد يحدث دوخة عند الاستيقاظ.,وقد تشعرين بدوار عندما تنهضين.
1,يقوم الطبيب بتخدير موضع القسطرة.,سيقوم الطبيب بتخدير موضع القسطرة.
1,ألم في العضلات,ألم العضلات
1,إذا أصبحتِ حاملًا أثناء العلاج ببريستيك، فتحدَّثي إلى مقدم الرعاية الصحية الخاص بك.,إذا أصبحتِ حاملًا أثناء فترة العلاج ببريستيك، فتحدثي إلى مقدم الرعاية الصحية الخاص بكِ.
1,ممكن أن يساعدهم لمسهم بلطف وثبات على الشعور بالامن والهدأ.,فلمسة واثقة ولكنها رقيقة في نفس الوقت من الممكن أن تجعلهم يشعرون بالأمان والهدوء.
1,لا ينقبض رحم الأم بعد الولادة بسبب نقص التقلصات الطبيعية في الرحم.,عدم تقلص رحم الأم بعد الولادة بسبب نقص انقباضات الرَّحم الطبيعية.
1,سرطان الخلايا السكاوية (SCC):,سرطان الخلية الحرشفية:
1,يحفظ في درجة حرارة أقل من 25 درجة مئوية.,يحفظ في درجة حرارة أقل من ٢٥ درجة مئوية.
1,١٩ - وفيروسات كورونا البشرية المكتسبة من الخفافيش، تُظهر البروتينات المضادة للفيروسات في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخف,هناك فرصة محدودة يمكن خلالها للبلدان أن تزيد من جهودها الرقابية لإبطاء انتشار سارس-كوف-2 وتقليل الضغط على الرعاية الصحية.
1,تأكد من فحص أعلى و أسفل و جانبي قدميك.,تأكد من فحص قدميك من أعلى وأسفل ومن الجوانب.
1,تناول متفور مع الطعام والشراب,تناول متفور مع الطعام و الشراب
1,ارتد الجبيرة أثناء الليل وخلال فترات الراحة فقط.,احرص على ارتداء الجبيرة بالليل وأثناء فترات الاستراحة فقط
1,لا يحفظ بدرجة حرارة أعلى من ۳۰ درجة مئوية.,لا تحفظ ھذا الدواء في درجة حرارة أعلي من ۳۰ درجة مئویة
1,لا يوصى باستخدام البانتوبرازول للأطفال حيث أنه لم يثبت فعاليته لدى الأطفال دون سن 12 عاماً.,لا ينصح باستخدام ريابنتا في الأطفال لأنه لم يثبت تأثيره في الأطفال دون سن 12 سنة من العمر.
1,إذا كنت تعاني من ارتفاع الضغط في العينين، مع فقدان تدريجي للرؤية (الجلوكوما).,إذا كنت تعاني من زيادة الضغط في العين مع فقدان تدريجي للبصر (جلوكوما).
1,يتم وضع المجسّات على جلد معدتك.,يتم وضع الوسائد على جلد المعدة.
